NCBIGenomeAccession	GenomeName
VGBP00000000	K_Offshore_40m_m2_139
VGBQ00000000	K_Offshore_40m_m2_150
VGBR00000000	M_DeepCast_50m_m2_189
VGBT00000000	K_DeepCast_65m_m2_097
VGBV00000000	K_DeepCast_65m_m2_213
VGBW00000000	K_DeepCast_65m_m2_221
VGBX00000000	M_DeepCast_65m_m2_256
VGBY00000000	K_Offshore_80m_m1_031
VGBZ00000000	K_Offshore_80m_m1_195
VGCA00000000	K_Offshore_80m_m2_056
VGCB00000000	K_Offshore_80m_m2_094
VGCC00000000	K_Offshore_80m_m2_226
VGCD00000000	K_Offshore_surface_m2_010
VGCE00000000	K_Offshore_surface_m2_014
VGCF00000000	M_surface_7_m2_013
VGCG00000000	M_surface_8_m2_185
VGCH00000000	M_surface_9_m2_109
VGCI00000000	M_surface_10_m2_100
VGCJ00000000	M_surface_10_m2_180
VGCL00000000	K_DeepCast_100m_mx_141
VGCQ00000000	K_Offshore_120m_m2_043
VGCU00000000	M_DeepCast_200m_mx_060
VGCV00000000	K_DeepCast_250m_m2_101
VGCX00000000	K_DeepCast_35m_m1_027
VGCY00000000	K_DeepCast_35m_m1_317
VGCZ00000000	K_DeepCast_35m_m2_067
VGDA00000000	K_DeepCast_35m_m2_271
VGDB00000000	K_DeepCast_35m_m2_327
VGDC00000000	M_DeepCast_400m_m1_040
VGDE00000000	M_DeepCast_400m_m1_328
VGDH00000000	K_Offshore_40m_m1_238
VGDI00000000	K_Offshore_40m_m1_243
VGDJ00000000	K_Offshore_40m_m2_131
VGDK00000000	K_Offshore_40m_m2_283
VGDL00000000	K_Offshore_40m_mx_105
VGDM00000000	K_Offshore_40m_mx_120
VGDN00000000	M_DeepCast_50m_m1_063
VGDO00000000	M_DeepCast_50m_m2_111
VGDP00000000	M_DeepCast_50m_m2_221
VGDQ00000000	K_DeepCast_65m_m1_262
VGDS00000000	M_DeepCast_65m_m1_019
VGDT00000000	M_DeepCast_65m_m1_022
VGDV00000000	M_DeepCast_65m_m1_275
VGDX00000000	M_DeepCast_65m_m2_016
VGDY00000000	M_DeepCast_65m_m2_041
VGDZ00000000	M_DeepCast_65m_m2_129
VGEA00000000	M_DeepCast_65m_m2_243
VGEB00000000	M_DeepCast_65m_mx_036
VGEE00000000	K_Offshore_80m_m1_220
VGEF00000000	K_Offshore_80m_m2_048
VGEG00000000	K_Offshore_80m_m2_049
VGEH00000000	K_Offshore_80m_m2_051
VGEI00000000	K_Offshore_80m_m2_053
VGEJ00000000	K_Offshore_80m_m2_061
VGEK00000000	K_Offshore_80m_m2_081
VGEM00000000	K_Offshore_80m_m2_101
VGEN00000000	K_Offshore_80m_m2_107
VGEO00000000	K_Offshore_80m_m2_115
VGEP00000000	K_Offshore_80m_m2_123
VGEQ00000000	K_Offshore_80m_m2_146
VGER00000000	K_Offshore_80m_m2_162
VGES00000000	K_Offshore_80m_m2_186
VGET00000000	K_Offshore_80m_m2_187
VGEU00000000	K_Offshore_80m_m2_191
VGEV00000000	K_Offshore_80m_m2_228
VGEW00000000	K_Offshore_surface_m1_194
VGEX00000000	K_Offshore_surface_m2_020
VGEY00000000	K_Offshore_surface_mx_080
VGEZ00000000	K_DeepCast_100m_m2_289
VGFA00000000	K_DeepCast_1200m_m2_191
VGFC00000000	K_DeepCast_250m_m2_231
VGFD00000000	M_DeepCast_50m_m2_086
VGFE00000000	M_DeepCast_50m_m2_207
VGFF00000000	K_Offshore_80m_m1_225
VGFH00000000	M_surface_6_mx_051
VGFK00000000	M_surface_7_m2_191
VGFL00000000	M_surface_7_m2_242
VGFN00000000	M_surface_8_m2_110
VGFP00000000	M_surface_9_m1_013
VGFQ00000000	M_surface_9_m1_241
VGFR00000000	M_surface_9_m1_277
VGFS00000000	M_surface_9_m1_279
VGFT00000000	M_surface_9_m1_282
VGFU00000000	M_surface_9_m2_088
VGFV00000000	M_surface_9_mx_130
VGFW00000000	M_surface_9_mx_152
VGFY00000000	M_surface_10_m2_196
VGGA00000000	K_DeepCast_0m_m2_115
VGGH00000000	K_DeepCast_100m_m2_150
VGGI00000000	K_DeepCast_100m_m2_162
VGGK00000000	K_DeepCast_1200m_m2_283
VGGL00000000	K_DeepCast_150m_m2_049
VGGM00000000	K_DeepCast_150m_m2_259
VGGQ00000000	K_DeepCast_35m_m2_065
VGGR00000000	M_DeepCast_50m_m1_018
VGGS00000000	M_DeepCast_50m_m1_274
VGGT00000000	M_DeepCast_50m_m1_285
VGGU00000000	M_DeepCast_65m_mx_068
VGGV00000000	K_Offshore_80m_m1_206
VGGW00000000	K_Offshore_surface_m2_247
VGHA00000000	M_surface_7_m1_304
VGHB00000000	M_surface_9_m1_249
VGHD00000000	M_surface_10_m1_315
VGHE00000000	M_surface_10_m2_064
VGHJ00000000	M_DeepCast_100m_m1_373
VGHK00000000	M_DeepCast_100m_m2_214
VGHL00000000	K_Offshore_120m_m1_203
VGHM00000000	K_Offshore_120m_m2_141
VGHN00000000	K_DeepCast_35m_m1_018
VGHO00000000	K_DeepCast_35m_m1_286
VGHP00000000	K_DeepCast_35m_m2_259
VGHQ00000000	K_Offshore_40m_m1_049
VGHR00000000	K_Offshore_40m_m1_237
VGHS00000000	K_Offshore_40m_m1_259
VGHT00000000	K_Offshore_40m_m1_292
VGHV00000000	K_Offshore_40m_m2_080
VGHW00000000	K_Offshore_40m_m2_212
VGHX00000000	K_Offshore_40m_mx_035
VGIA00000000	K_DeepCast_65m_m2_129
VGIC00000000	M_DeepCast_65m_m2_126
VGID00000000	K_Offshore_80m_m1_178
VGIE00000000	K_Offshore_80m_m2_043
VGIF00000000	K_Offshore_80m_m2_113
VGIH00000000	K_Offshore_surface_m1_010
VGIJ00000000	K_Offshore_surface_m1_273
VGIL00000000	K_Offshore_surface_m2_092
VGIM00000000	K_DeepCast_1200m_m1_317
VGIO00000000	K_DeepCast_250m_m2_227
VGIP00000000	M_DeepCast_400m_m2_340
VGIQ00000000	M_DeepCast_65m_m1_265
VGIR00000000	K_DeepCast_150m_m2_040
VGIS00000000	K_DeepCast_150m_m2_307
VGIT00000000	K_DeepCast_250m_m1_105
VGIU00000000	M_DeepCast_400m_m1_356
VGIW00000000	K_DeepCast_150m_m1_344
VGIX00000000	M_DeepCast_400m_m1_028
VGIY00000000	M_DeepCast_400m_m2_100
VGIZ00000000	K_DeepCast_250m_m1_172
VGJA00000000	M_DeepCast_200m_m2_220
VGJC00000000	K_DeepCast_150m_m1_388
VGJD00000000	K_DeepCast_250m_m1_044
VGJE00000000	M_DeepCast_400m_m2_133
VGJF00000000	M_DeepCast_400m_m2_244
VGJG00000000	M_DeepCast_400m_m2_293
VGJH00000000	K_DeepCast_250m_m2_015
VGJI00000000	K_DeepCast_300m_mx_218
VGJJ00000000	M_DeepCast_50m_m2_156
VGJL00000000	K_DeepCast_250m_m1_333
VGJN00000000	K_DeepCast_250m_m1_078
VGJO00000000	K_Offshore_120m_m1_041
VGJP00000000	M_DeepCast_65m_m2_204
VGJQ00000000	M_DeepCast_65m_m1_095
VGJR00000000	M_DeepCast_65m_mx_099
VGJS00000000	K_DeepCast_65m_m1_133
VGJU00000000	K_Offshore_80m_m2_058
VGJV00000000	M_DeepCast_50m_m2_187
VGJW00000000	K_Offshore_40m_m2_103
VGJX00000000	K_DeepCast_65m_m2_236
VGJY00000000	M_DeepCast_65m_m2_071
VGKB00000000	K_DeepCast_150m_m2_305
VGKC00000000	K_DeepCast_250m_m1_236
VGKE00000000	M_DeepCast_400m_m2_122
VGKF00000000	K_DeepCast_150m_m2_086
VGKG00000000	M_DeepCast_200m_m2_189
VGKH00000000	K_DeepCast_250m_m2_027
VGKI00000000	M_DeepCast_400m_m1_102
VGKJ00000000	M_DeepCast_400m_m2_096
VGKK00000000	M_DeepCast_400m_m2_183
VGKM00000000	K_DeepCast_150m_m1_084
VGKN00000000	K_DeepCast_250m_m2_062
VGKO00000000	K_DeepCast_100m_m1_149
VGKP00000000	K_Offshore_120m_m2_023
VGKQ00000000	M_DeepCast_400m_m2_082
VGKR00000000	M_DeepCast_400m_m2_303
VGKS00000000	M_DeepCast_50m_m2_169
VGKT00000000	K_Offshore_80m_m2_097
VGKU00000000	M_DeepCast_50m_m2_233
VGKX00000000	M_DeepCast_65m_mx_140
VGKY00000000	K_Offshore_120m_m1_009
VGKZ00000000	K_DeepCast_65m_m2_238
VGLC00000000	M_DeepCast_200m_m2_052
VGLE00000000	K_DeepCast_300m_m1_220
VGLH00000000	M_DeepCast_65m_m2_014
VGLJ00000000	M_DeepCast_50m_m1_133
VGLK00000000	K_DeepCast_1200m_m2_081
VGLL00000000	K_DeepCast_150m_m1_139
VGLM00000000	K_DeepCast_250m_mx_219
VGLO00000000	M_DeepCast_50m_m2_049
VGLS00000000	K_DeepCast_65m_m2_066
VGLT00000000	M_DeepCast_50m_m1_090
VGLU00000000	M_DeepCast_400m_m2_128
VGLX00000000	M_DeepCast_400m_m2_277
VGMA00000000	M_surface_7_m1_001
VGMB00000000	M_surface_9_m2_137
VGMC00000000	K_Offshore_120m_m2_055
VGMD00000000	K_DeepCast_35m_m1_012
VGME00000000	K_DeepCast_35m_m1_073
VGMF00000000	K_DeepCast_35m_m2_096
VGMG00000000	K_DeepCast_35m_m2_204
VGMH00000000	M_DeepCast_50m_m2_029
VGMI00000000	M_DeepCast_50m_m2_194
VGMK00000000	M_surface_9_m2_059
VGML00000000	M_surface_9_m2_064
VGMN00000000	K_DeepCast_0m_m2_222
VGMT00000000	K_DeepCast_35m_m2_130
VGMU00000000	K_Offshore_40m_m1_251
VGMW00000000	K_Offshore_40m_m2_287
VGMX00000000	M_DeepCast_65m_m2_268
VGMY00000000	K_Offshore_surface_m2_005
VGNB00000000	K_DeepCast_100m_m1_112
VGND00000000	K_DeepCast_100m_m2_152
VGNE00000000	K_DeepCast_100m_m2_203
VGNF00000000	K_DeepCast_100m_m2_305
VGNG00000000	M_DeepCast_100m_mx_191
VGNH00000000	M_DeepCast_100m_mx_312
VGNI00000000	K_DeepCast_1200m_m1_255
VGNK00000000	K_Offshore_120m_m2_037
VGNL00000000	K_DeepCast_150m_m1_015
VGNM00000000	K_DeepCast_150m_m1_063
VGNN00000000	K_DeepCast_150m_m2_048
VGNO00000000	K_DeepCast_150m_m2_071
VGNP00000000	K_DeepCast_150m_m2_126
VGNQ00000000	K_DeepCast_150m_m2_167
VGNS00000000	K_DeepCast_150m_m2_272
VGNW00000000	M_DeepCast_200m_m2_194
VGNX00000000	M_DeepCast_200m_m2_208
VGNY00000000	M_DeepCast_200m_mx_194
VGOA00000000	K_DeepCast_250m_m1_047
VGOB00000000	K_DeepCast_250m_m1_199
VGOC00000000	K_DeepCast_250m_m1_342
VHDM00000000	K_Offshore_surface_mx_210
