MAG,ManualTaxonomy,Domain,Phylum,Class,Order,Family,Genus,Species
K_DeepCast_35m_m2_259,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-39,g__,s__
K_Offshore_40m_m1_259,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-39,g__,s__
K_Offshore_40m_m2_212,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-39,g__,s__
K_DeepCast_65m_m2_129,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-39,g__,s__
K_Offshore_80m_m2_043,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-39,g__,s__
K_Offshore_40m_m1_292,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-41,g__,s__
K_Offshore_80m_m1_178,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-41,g__,s__
K_Offshore_80m_m2_113,Betaproteobacteria,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Betaproteobacteriales,f__SG8-41,g__,s__
K_DeepCast_250m_m2_227,Calditrichaeota,d__Bacteria,p__,c__,o__,f__,g__,s__
M_DeepCast_400m_m2_340,Calditrichaeota,d__Bacteria,p__,c__,o__,f__,g__,s__
M_DeepCast_65m_m1_265,Calditrichaeota,d__Bacteria,p__,c__,o__,f__,g__,s__
M_surface_7_m1_001,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__,f__,g__,s__
M_surface_9_m2_137,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__Ga0074140,g__,s__
K_Offshore_120m_m2_055,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__Ga0074140,g__,s__
K_DeepCast_35m_m1_012,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__,f__,g__,s__
K_DeepCast_35m_m1_073,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__,f__,g__,s__
K_DeepCast_35m_m2_096,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__,f__,g__,s__
K_DeepCast_35m_m2_204,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__,f__,g__,s__
M_DeepCast_50m_m2_029,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__Simkaniaceae,g__,s__
M_DeepCast_50m_m2_194,Chlamydiae,d__Bacteria,p__Verrucomicrobiota,c__Chlamydiia,o__Parachlamydiales,f__SM23-39,g__,s__
K_DeepCast_1200m_m2_283,Chlorobi,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium,s__
M_DeepCast_65m_m2_268,Chlorobi,d__Bacteria,p__Bacteroidota,c__Chlorobia,o__Chlorobiales,f__Chlorobiaceae,g__Chlorobium,s__
K_DeepCast_100m_m1_112,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_100m_m2_152,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_100m_m2_203,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__,s__
K_DeepCast_100m_m2_305,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__,s__
M_DeepCast_100m_mx_191,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
M_DeepCast_100m_mx_312,Chloroflexi,d__Bacteria,p__Chloroflexota,c__,o__,f__,g__,s__
K_DeepCast_1200m_m1_255,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__UBA1429,f__UBA1429,g__,s__
K_Offshore_120m_m2_037,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__,s__
K_DeepCast_150m_m1_015,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_150m_m1_063,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_150m_m2_048,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__,f__,g__,s__
K_DeepCast_150m_m2_071,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__,s__
K_DeepCast_150m_m2_126,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__,g__,s__
K_DeepCast_150m_m2_167,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__,s__
M_DeepCast_200m_m2_194,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__,f__,g__,s__
M_DeepCast_200m_m2_208,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
M_DeepCast_200m_mx_194,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_250m_m1_047,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_250m_m1_199,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__,f__,g__,s__
K_DeepCast_250m_m1_342,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__,g__,s__
K_DeepCast_250m_m2_061,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__,f__,g__,s__
K_DeepCast_250m_m2_143,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2777,f__,g__,s__
K_DeepCast_250m_m2_195,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
K_DeepCast_250m_m2_317,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__,f__,g__,s__
K_DeepCast_250m_mx_116,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__RBG-16-60-22,g__,s__
M_DeepCast_400m_m2_020,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2777,f__,g__,s__
M_DeepCast_400m_m2_044,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
M_DeepCast_400m_m2_207,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
M_DeepCast_400m_m2_252,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__
M_DeepCast_400m_m2_269,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__,g__,s__
M_DeepCast_400m_m2_351,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__,f__,g__,s__
M_DeepCast_50m_m2_054,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__P2-11E,f__P2-11E,g__,s__
M_DeepCast_65m_m1_226,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__,g__,s__
M_DeepCast_65m_m2_156,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__OLB14,s__
K_Offshore_80m_m1_189,Chloroflexi,d__Bacteria,p__Chloroflexota,c__,o__,f__,g__,s__
K_Offshore_80m_m2_157,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__P2-11E,f__P2-11E,g__,s__
K_Offshore_80m_m2_170,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__,g__,s__
K_Offshore_80m_m2_183,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__,s__
K_Offshore_80m_m2_197,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__CSP1-4,g__,s__
K_Offshore_80m_m2_218,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__,f__,g__,s__
K_Offshore_surface_m1_220,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__,s__
K_Offshore_120m_m2_146,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__SAR202,f__,g__,s__
M_DeepCast_50m_m2_018,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__UBA1151,g__,s__
K_DeepCast_65m_m1_015,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__,f__,g__,s__
K_DeepCast_65m_m2_033,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA3495,f__UBA3495,g__,s__
K_Offshore_80m_m1_004,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__SAR202,f__,g__,s__
K_Offshore_80m_m2_034,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2963,f__,g__,s__
K_Offshore_80m_m2_079,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__SAR202,f__,g__,s__
K_Offshore_80m_m2_084,Chloroflexi,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA3495,f__,g__,s__
K_DeepCast_250m_m1_172,CP Aenigmarchaeota,d__Archaea,p__Nanoarchaeota,c__Aenigmarchaeia,o__,f__,g__,s__
M_DeepCast_200m_m2_220,CP Altiarchaeota,d__Archaea,p__Altiarchaeota,c__Altiarchaeia,o__SCGC-AAA252-I15,f__,g__,s__
K_DeepCast_150m_m1_388,CP Aminicemantes (OP8),d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA4085,g__,s__
K_DeepCast_250m_m1_044,CP Aminicemantes (OP8),d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA4085,g__,s__
M_DeepCast_400m_m2_133,CP Aminicemantes (OP8),d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__,g__,s__
M_DeepCast_400m_m2_244,CP Aminicemantes (OP8),d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__UBA4085,g__,s__
M_DeepCast_400m_m2_293,CP Aminicemantes (OP8),d__Bacteria,p__Acidobacteriota,c__Aminicenantia,o__Aminicenantales,f__,g__,s__
K_DeepCast_250m_m2_015,CP Bathyarchaeota,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__TCS64,f__TCS64,g__,s__
K_DeepCast_250m_mx_298,CP Bathyarchaeota,d__Archaea,p__Crenarchaeota,c__Bathyarchaeia,o__B26-1,f__UBA233,g__,s__
K_DeepCast_1200m_m1_317,CP BRC1,d__Bacteria,p__,c__,o__,f__,g__,s__
K_DeepCast_150m_m1_344,CP Eisenbacteria,d__Bacteria,p__Gemmatimonadota,c__,o__,f__,g__,s__
M_DeepCast_400m_m1_028,CP Eisenbacteria,d__Bacteria,p__,c__,o__,f__,g__,s__
M_DeepCast_400m_m2_100,CP Eisenbacteria,d__Bacteria,p__,c__,o__,f__,g__,s__
K_DeepCast_250m_m1_333,CP Eisenbacteria,d__Bacteria,p__,c__,o__,f__,g__,s__
K_DeepCast_250m_m1_078,CP Gottesmanbacteria,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Gottesmanbacterales,f__GWA2-43-14,g__,s__
M_DeepCast_400m_m2_153,CP Gribaldobacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__CG1-02-41-26,g__,s__
K_DeepCast_65m_m1_133,CP Handelsmanbacteria,d__Bacteria,p__Latescibacterota,c__UBA2968,o__UBA8231,f__,g__,s__
K_Offshore_120m_m1_041,CP Harrisonbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA6257,f__Harrisonbacteraceae,g__,s__
M_DeepCast_65m_m2_204,CP Hydrogenedentes,d__Bacteria,p__Hydrogenedentota,c__Hydrogenedentia,o__Hydrogenedentiales,f__UBA2224,g__,s__
M_DeepCast_65m_m1_095,CP Kaiserbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Kaiserbacteraceae,g__UBA10103,s__
M_DeepCast_65m_mx_099,CP Kaiserbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Kaiserbacteraceae,g__UBA10103,s__
M_DeepCast_50m_m2_187,CP Liptonbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA6257,f__,g__,s__
K_DeepCast_150m_m2_305,CP Moranbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__,f__,g__,s__
K_DeepCast_250m_m1_236,CP Nealsonbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__,g__,s__
M_DeepCast_400m_m2_122,CP Nealsonbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Nealsonbacteraceae,g__,s__
K_Offshore_120m_m2_023,CP Pacearchaeota,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__UBA73,g__,s__
K_Offshore_80m_m2_097,CP Pacearchaeota,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__UBA73,g__,s__
M_DeepCast_400m_m2_082,CP Pacearchaeota,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__,g__,s__
M_DeepCast_50m_m2_169,CP Pacearchaeota,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__UBA73,g__,s__
K_DeepCast_100m_m1_149,CP Pacearchaeota,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__,g__,s__
M_DeepCast_400m_m2_303,CP Pacearchaeota,d__Archaea,p__Nanoarchaeota,c__Woesearchaeia,o__Pacearchaeales,f__GW2011-AR1,g__,s__
M_DeepCast_65m_mx_140,CP Parvarchaeota,d__Archaea,p__Micrarchaeota,c__Micrarchaeia,o__UBA10214,f__,g__,s__
K_Offshore_120m_m1_009,CP Peribacteria,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Peribacterales,f__Peribacteraceae,g__,s__
K_DeepCast_65m_m2_238,CP Perigrinibacteria,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Peribacterales,f__Peribacteraceae,g__,s__
M_DeepCast_200m_m2_052,CP Poribacteria,d__Bacteria,p__Poribacteria,c__WGA-4E,o__,f__,g__,s__
K_DeepCast_300m_m1_220,CP Poribacteria,d__Bacteria,p__,c__,o__,f__,g__,s__
M_DeepCast_65m_m2_014,CP Poribacteria,d__Bacteria,p__Poribacteria,c__WGA-4E,o__,f__,g__,s__
M_DeepCast_50m_m1_133,CP Rokubacteria,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__GWA2-73-35,g__,s__
M_DeepCast_50m_m1_244,CP Rokubacteria,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__GWA2-73-35,g__,s__
K_DeepCast_1200m_m2_081,CP Saccharibacteria,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__
K_DeepCast_150m_m1_139,CP Shapirobacteria,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Shapirobacterales,f__,g__,s__
K_DeepCast_250m_mx_219,CP Shapirobacteria,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Shapirobacterales,f__,g__,s__
M_DeepCast_50m_m2_049,CP Staskawiczbacteria,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Staskawiczbacteraceae,g__,s__
K_Offshore_40m_m2_103,Sericytochromatia Tanganyikabacteria,d__Bacteria,p__Cyanobacteriota,c__Sericytochromatia,o__,f__,g__,s__
K_DeepCast_65m_m2_236,Sericytochromatia Tanganyikabacteria,d__Bacteria,p__Cyanobacteriota,c__Sericytochromatia,o__,f__,g__,s__
M_DeepCast_65m_m2_071,Sericytochromatia Tanganyikabacteria,d__Bacteria,p__Cyanobacteriota,c__Sericytochromatia,o__S15B-MN24,f__,g__,s__
K_DeepCast_65m_m2_066,CP Tectomicrobia,d__Bacteria,p__,c__,o__,f__,g__,s__
K_Offshore_120m_m2_035,CP TM6,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__RVW-14,g__,s__
K_DeepCast_35m_m1_037,CP TM6,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__RVW-14,g__,s__
K_Offshore_40m_m1_063,CP TM6,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__,g__,s__
M_DeepCast_50m_m2_233,CP Urhbacteria,d__Bacteria,p__Patescibacteria,c__ABY1,o__Uhrbacterales,f__GWF2-40-263,g__,s__
M_DeepCast_50m_m1_090,CP Urhbacteria,d__Bacteria,p__Patescibacteria,c__ABY1,o__Uhrbacterales,f__2-12-FULL-60-25,g__,s__
M_DeepCast_400m_m2_128,CP Verstratearchaeota,d__Archaea,p__Crenarchaeota,c__Methanomethylicia,o__Methanomethyliales,f__Methanomethyliaceae,g__,s__
K_DeepCast_150m_m2_086,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__GIF10,f__UBA6249,g__,s__
M_DeepCast_200m_m2_189,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__GIF10,f__UBA6249,g__,s__
K_DeepCast_250m_m2_027,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__,f__,g__,s__
M_DeepCast_400m_m1_102,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__,f__,g__,s__
M_DeepCast_400m_m2_096,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__GIF10,f__UBA6249,g__,s__
M_DeepCast_400m_m2_183,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__GIF10,f__UBA6249,g__,s__
K_DeepCast_150m_m1_084,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__GIF10,f__UBA6249,g__,s__
K_DeepCast_250m_m2_062,CP WOR-2 Omnitrophica,d__Bacteria,p__Omnitrophota,c__koll11,o__,f__,g__,s__
K_DeepCast_150m_m2_040,CP WOR-3,d__Bacteria,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__,s__
K_DeepCast_150m_m2_307,CP WOR-3,d__Bacteria,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__,s__
K_DeepCast_250m_m1_105,CP WOR-3,d__Bacteria,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__,s__
M_DeepCast_400m_m1_356,CP WOR-3,d__Bacteria,p__WOR-3,c__WOR-3,o__UBA2258,f__UBA2258,g__,s__
K_DeepCast_150m_m2_105,CP WWE1,d__Bacteria,p__Cloacimonadota,c__Cloacimonadia,o__Cloacimonadales,f__Cloacimonadaceae,g__,s__
K_DeepCast_250m_m1_043,CP WWE1,d__Bacteria,p__Cloacimonadota,c__Cloacimonadia,o__Cloacimonadales,f__Cloacimonadaceae,g__,s__
M_DeepCast_400m_m2_266,CP WWE3,d__Bacteria,p__Patescibacteria,c__4484-211,o__4484-211,f__,g__,s__
K_DeepCast_100m_m2_307,CP Ziwabacteria,d__Bacteria,p__UBP1,c__PRR-12,o__,f__,g__,s__
K_DeepCast_100m_m2_321,CP Ziwabacteria,d__Bacteria,p__UBP1,c__PRR-12,o__,f__,g__,s__
K_Offshore_80m_m2_058,CP Zixibacteria,d__Bacteria,p__Latescibacterota,c__,o__,f__,g__,s__
M_surface_7_m2_037,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_surface_7_m2_040,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_surface_9_m1_291,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_surface_10_m1_298,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_surface_10_m2_119,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_surface_10_m2_179,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_DeepCast_0m_m1_088,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_Offshore_0m_m2_072,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_DeepCast_100m_m1_067,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_DeepCast_150m_m2_101,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
M_DeepCast_200m_mx_001,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_DeepCast_35m_m1_288,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_DeepCast_35m_m2_023,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_DeepCast_35m_m2_155,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_Offshore_surface_m2_011,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_Offshore_surface_m2_239,Cyanobacteria,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__
K_DeepCast_150m_m1_356,Deltaproteobacteria,d__Bacteria,p__,c__,o__,f__,g__,s__
M_DeepCast_100m_m2_010,Deltaproteobacteria,d__Bacteria,p__Bdellovibrionota,c__,o__,f__,g__,s__
K_Offshore_120m_m2_196,Deltaproteobacteria,d__Bacteria,p__Bdellovibrionota,c__,o__,f__,g__,s__
K_Offshore_80m_m2_119,Deltaproteobacteria,d__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Oligoflexales,f__,g__,s__
K_DeepCast_150m_m1_110,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__,f__,g__,s__
K_DeepCast_100m_m1_199,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__
K_DeepCast_100m_m2_189,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__
K_DeepCast_100m_mx_276,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__
K_DeepCast_1200m_m2_207,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__
K_DeepCast_150m_m2_257,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__
K_DeepCast_250m_m2_302,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__
K_DeepCast_150m_m2_098,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__,g__,s__
K_DeepCast_250m_m1_077,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__,g__,s__
K_DeepCast_250m_m2_102,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__,g__,s__
K_DeepCast_300m_m2_211,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__,g__,s__
K_DeepCast_300m_m2_247,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__,s__
K_DeepCast_300m_mx_218,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__,f__,g__,s__
K_DeepCast_150m_m1_199,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__,f__,g__,s__
M_DeepCast_400m_m1_009,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__,g__,s__
K_DeepCast_150m_m2_113,Deltaproteobacteria,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA5619,g__UBA5619,s__
K_DeepCast_100m_m1_326,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__,o__,f__,g__,s__
K_DeepCast_100m_mx_210,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__,o__,f__,g__,s__
M_DeepCast_400m_m1_331,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__,o__,f__,g__,s__
K_DeepCast_100m_m2_268,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__,o__,f__,g__,s__
K_Offshore_0m_m1_055,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__,s__
K_Offshore_80m_m2_039,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__,g__,s__
K_DeepCast_35m_m2_009,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__,s__
K_DeepCast_35m_m2_046,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__,s__
K_DeepCast_100m_m2_324,Deltaproteobacteria,d__Bacteria,p__Myxococcota,c__UBA4248,o__,f__,g__,s__
