Date,Data Type Available,Depth,Location,Dummy,Year
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2010-08-18,Temp,,,1,2010
2011-07-08,Temp,,,1,2011
2011-07-08,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-14,Temp,,,1,2011
2011-07-22,Temp,,,1,2011
2011-07-29,Temp,,,1,2011
2011-07-29,Temp,,,1,2011
2011-08-05,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2011-08-19,Temp,,,1,2011
2012-12-06,Temp,,,1,2012
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-03,Temp,,,1,2013
2013-01-10,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-01-24,Temp,,,1,2013
2013-02-23,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-05,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-03-27,Temp,,,1,2013
2013-04-10,Temp,,,1,2013
2013-04-10,Temp,,,1,2013
2013-04-10,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-17,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-04-24,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-05-08,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-06-12,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-07-04,Temp,,,1,2013
2013-03-20,Temp,,,1,2013
2010-08-18,Temp,,,1,2010
