MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_Offshore_surface_m2_010	7.64	7.13	6.73	9.24	5.62	14.69	5.61	18.17	12.71	0.90	20.65	2.21	22.47	9.15	4.06	9.00	11.51	4.43	3.24	18.13	11.73	14.52	23.49	15.85
M_DeepCast_400m_m2_293	1.13	7.11	2.59	6.64	8.52	0.00	0.01	0.00	0.00	0.01	0.00	0.01	0.00	0.25	6.35	12.63	0.00	0.01	0.10	0.00	0.00	0.01	0.00	0.00
K_Offshore_120m_m1_009	4.12	7.01	4.41	3.42	4.45	0.59	19.13	0.43	0.15	34.76	0.63	34.02	0.33	4.94	2.97	5.87	0.90	35.81	20.09	0.26	0.50	0.15	0.38	0.72
M_DeepCast_400m_m2_303	1.86	6.98	5.89	7.89	10.33	0.00	0.02	0.00	0.00	0.01	0.00	0.00	0.00	0.48	11.81	11.95	0.00	0.00	0.13	0.01	0.00	0.02	0.00	0.00
M_DeepCast_400m_m2_100	16.76	6.97	10.80	7.95	10.39	0.01	0.04	0.01	0.01	0.02	0.01	0.02	0.01	3.82	12.61	14.37	0.01	0.02	0.42	0.01	0.01	0.02	0.01	0.01
M_DeepCast_400m_m2_096	7.86	6.93	7.25	7.48	10.20	0.00	0.03	0.00	0.00	0.03	0.00	0.00	0.00	3.39	11.95	12.76	0.00	0.01	0.67	0.00	0.00	0.00	0.00	0.00
K_DeepCast_65m_m2_033	4.90	6.79	5.44	3.21	4.05	0.07	20.89	0.05	0.06	22.12	0.10	26.82	0.06	3.70	3.90	3.17	0.24	21.52	5.47	0.05	0.03	0.03	0.03	0.03
M_DeepCast_400m_m2_277	0.15	6.74	0.44	6.43	10.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	4.75	13.18	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00
K_Offshore_120m_m2_196	4.68	6.68	4.37	3.53	4.27	2.90	17.21	2.94	1.51	62.10	1.41	49.90	1.55	12.22	10.19	10.79	5.47	32.76	15.96	1.44	0.53	0.65	2.68	1.11
K_DeepCast_100m_m2_203	52.80	6.63	15.42	4.43	6.93	0.01	0.25	0.00	0.00	0.59	0.00	0.03	0.01	14.31	11.34	4.00	0.00	0.02	19.09	0.01	0.02	0.03	0.01	0.00
