MAG	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_DeepCast_250m_m1_044	0.02	0.04	0.05	0.09	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_surface_m1_194	0.03	0.04	0.03	0.04	0.03	0.04	0.03	0.07	0.09	0.00	0.07	0.01	0.07	0.07	0.05	0.06	0.07	0.03	0.03	0.05	0.04	0.04	0.05	0.06
K_DeepCast_150m_m2_126	0.04	0.04	0.08	0.04	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.06	0.05	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
K_DeepCast_35m_m1_297	0.03	0.04	0.04	0.05	0.04	0.06	0.03	0.05	0.03	0.01	0.04	0.03	0.03	0.04	0.03	0.05	0.06	0.03	0.02	0.03	0.02	0.03	0.05	0.03
K_DeepCast_250m_m2_062	0.02	0.04	0.03	0.07	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_DeepCast_250m_m1_043	0.03	0.04	0.04	0.10	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.12	0.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
K_Offshore_80m_m2_211	0.04	0.04	0.04	0.02	0.04	0.00	0.16	0.00	0.00	0.19	0.00	0.26	0.00	0.02	0.05	0.02	0.00	0.11	0.08	0.00	0.00	0.00	0.00	0.00
K_DeepCast_150m_m2_272	0.04	0.04	0.07	0.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.09	0.04	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
K_DeepCast_35m_m1_007	0.03	0.04	0.03	0.04	0.04	0.06	0.03	0.07	0.03	0.00	0.02	0.00	0.03	0.02	0.02	0.02	0.03	0.01	0.01	0.02	0.06	0.02	0.02	0.03
M_surface_6_mx_051	0.06	0.04	0.05	0.05	0.04	0.10	0.06	0.07	0.04	0.05	0.07	0.06	0.07	0.06	0.04	0.04	0.06	0.05	0.04	0.07	0.12	0.12	0.09	0.12
