Taxonomy	KigC100	KigC150	KigC250	KigC1200	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
CP Zixibacteria	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cyanobacteria	10.7	19.9	18.5	21.8	16.3	25.6	14.6	33.6	35.7	0.3	22.5	0.9	29.5	21.0	13.8	12.4	27.5	9.8	8.6	28.3	9.8	20.4	14.7	16.4
Deltaproteobacteria	3.6	4.1	4.5	4.3	6.2	0.5	1.5	0.4	0.3	2.4	0.2	2.6	0.2	1.5	5.9	4.7	0.4	1.3	1.7	0.1	0.1	0.2	0.1	0.1
Diapherotrites	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0
Euryarchaeota	0.3	0.3	0.5	0.6	0.7	0.4	0.1	0.3	0.1	0.0	0.2	0.1	0.2	0.3	0.7	0.7	0.3	0.1	0.1	0.5	1.5	0.6	0.4	0.5
Firmicutes	0.3	0.3	0.2	0.2	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.2	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0
Gammaproteobacteria	3.0	2.9	3.1	3.0	2.5	3.6	5.3	3.5	2.6	4.7	2.9	4.1	2.6	3.2	2.5	2.8	3.4	4.4	4.3	3.7	4.4	3.9	4.3	4.6
Gemmatimonadetes	0.6	0.5	0.6	0.5	0.5	0.6	0.6	0.5	0.9	0.4	0.9	0.5	0.8	0.5	0.5	0.5	0.6	0.4	0.8	0.6	0.9	0.7	0.9	0.9
Ignavibacteria	5.9	5.0	5.3	3.7	4.3	7.9	2.9	5.1	3.7	0.5	4.7	1.0	6.4	4.8	6.1	4.3	4.3	1.6	2.5	4.6	7.9	5.2	4.2	5.4
Kirimatiellacea	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lentisphaerae	0.4	0.4	0.9	0.4	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.2	0.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Nitrospirae	1.1	1.2	1.4	2.0	2.5	0.1	3.5	0.1	0.1	7.3	0.1	5.5	0.1	1.1	1.9	2.2	0.4	4.7	4.5	0.1	0.1	0.0	0.1	0.1
Planctomycetes	3.0	2.3	1.9	2.1	2.1	1.3	2.8	1.3	1.8	2.5	1.3	2.6	1.8	2.0	3.2	2.1	1.3	2.3	3.4	1.1	0.6	0.9	0.7	0.7
Planctomycetes (Phycisphaerae)	3.3	3.4	4.0	3.9	3.4	4.2	6.4	3.9	4.9	6.0	4.8	7.1	4.1	3.6	3.3	3.3	3.6	4.2	5.2	2.6	1.8	2.8	3.4	2.0
Sericytochromatia, Tanganyikabacteria	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.2	0.0	0.2	0.0	0.1	0.1	0.0	0.0	0.1	0.1	0.2	0.0	0.0	0.1	0.1	0.0
Thaumarchaeota	5.0	3.8	2.3	5.0	4.6	0.5	12.1	0.3	0.2	30.7	0.5	23.6	0.4	5.8	4.3	4.8	1.4	20.6	13.1	0.2	0.4	0.2	0.5	0.6
Verruomicrobia	2.6	2.9	3.2	3.1	2.7	4.3	4.4	3.6	5.6	4.1	5.3	3.9	4.4	3.5	3.9	3.6	3.7	3.5	2.6	3.3	2.7	3.5	3.7	2.8
Woesearchaeota	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0
