Taxa	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	KigC150	MahC100	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400
CP Moranbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75	0.05	0.34	0.45	0.37	0	0.39	0.24
CP Nealsonbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.39	0.03	4.89	4.66	3.22	0.06	4.07	5.59
CP Parcubacteria	0.03	0.03	0.02	0.04	0.03	0.03	0.03	0.04	0.03	0.04	0.04	0.04	0.03	0.04	0.04	0.87	0.33	0.46	0.25	0.3	0.53	1.88	0.23	0.28
CP Peribacteria	0.04	0.05	0.01	0.05	0.03	0.07	0.02	0.04	0.01	0.03	0.06	0.04	0.01	0.03	0.06	2.95	0.7	1.65	0.54	0.7	1.11	5.49	0.47	0.93
CP Perigrinibacteria	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.85	0.18	0.48	0.14	0.19	0.36	1.67	0.13	0.25
CP Roizmanbacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21	0	0.82	1.12	1.03	0	0.66	1.54
CP Rokubacteria	0.03	0.05	0.03	0.05	0.03	0.11	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.03	0.02	7.23	2.69	3.94	1.7	2.78	5.22	10.46	2.11	2.39
CP Saccharibacteria	0.17	0.11	0	0	0	0.01	0.2	0.04	0.1	0.07	0.18	0.04	0.1	0.07	0.18	0.06	0.48	0.03	0.66	2.16	4.55	0	0.18	2.16
CP Shapirobacteria	0	0	0	0.04	0.01	0.02	0	0	0.02	0.01	0.01	0	0.02	0.01	0.01	0.01	5.14	0.07	8.6	6.28	4.73	0	8.89	6.67
CP Staskawiczbacteria	0.12	0.14	0.02	0.05	0.06	0.06	0.07	0.08	0.06	0.07	0.09	0.08	0.06	0.07	0.09	1.09	0.55	0.37	0.93	1.34	1.16	1.72	0.85	1.44
CP Tectomicrobia	0.73	0.83	0.42	0.8	0.68	0.63	0.8	0.81	0.74	1	0.95	0.81	0.74	1	0.95	3.1	1.67	1.72	1.28	1.65	2.15	5.94	1.58	1.86
CP TM6	2.14	2.3	0.67	1.67	1.54	0.84	1.48	2.9	1.28	1.24	1.45	2.9	1.28	1.24	1.45	1.54	1.49	0.49	1.62	1.27	1.75	4.17	1.29	1.29
CP Urhbacteria	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	2.14	0.45	1.04	0.3	0.4	0.73	0.9	0.35	0.55
