Order,Domain,Phylum,Class,Order,Family,Genus,Species,Baikal,Tanganyika,Category
83,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__Anaerolineales,f__envOPS12,g__OLB14,s__,,1,Only Tanganyika
84,d__Bacteria,p__Chloroflexota,c__Anaerolineae,o__UBA1429,f__UBA1429,g__,s__,,1,Only Tanganyika
85,d__Bacteria,p__Chloroflexota,c__Chloroflexia,o__Chloroflexales,f__Roseiflexaceae,g__,s__,,1,Only Tanganyika
86,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__,f__,g__,s__,12,4,Both
87,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__,g__,s__,,1,Only Tanganyika
88,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__Dehalococcoidales,f__RBG-16-60-22,g__,s__,,1,Only Tanganyika
89,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__GIF9,f__UBA5620,g__,s__,,12,Only Tanganyika
90,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__SAR202,f__,g__,s__,,1,Only Tanganyika
91,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__,g__,s__,2,1,Both
92,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA1151,f__UBA1151,g__,s__,,1,Only Tanganyika
93,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2777,f__,g__,s__,,2,Only Tanganyika
94,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__,g__,s__,2,1,Both
95,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA2979,f__UBA2979,g__,s__,3,1,Both
96,d__Bacteria,p__Chloroflexota,c__Dehalococcoidia,o__UBA3495,f__UBA3495,g__,s__,2,1,Both
97,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__CSP1-4,f__,g__,s__,1,,Only Baikal
98,d__Bacteria,p__Chloroflexota,c__Ellin6529,o__P2-11E,f__P2-11E,g__,s__,1,1,Both
99,d__Bacteria,p__Chloroflexota,c__UBA2235,o__,f__,g__,s__,1,1,Both
100,d__Bacteria,p__Cloacimonadota,c__Cloacimonadia,o__Cloacimonadales,f__Cloacimonadaceae,g__,s__,,2,Only Tanganyika
101,d__Bacteria,p__Cyanobacteriota,c__Cyanobacteriia,o__Synechococcales_A,f__Cyanobiaceae,g__Cyanobium,s__,,16,Only Tanganyika
102,d__Bacteria,p__Cyanobacteriota,c__Sericytochromatia,o__,f__,g__,s__,,1,Only Tanganyika
103,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__,g__,s__,,1,Only Tanganyika
104,d__Bacteria,p__Dependentiae,c__Babeliae,o__Babeliales,f__RVW-14,g__,s__,,2,Only Tanganyika
105,d__Bacteria,p__Desulfobacterota,c__BSN033,o__,f__,g__,s__,,1,Only Tanganyika
106,d__Bacteria,p__Desulfobacterota,c__BSN033,o__BSN033,f__UBA1163,g__,s__,,6,Only Tanganyika
107,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__,g__,s__,,4,Only Tanganyika
108,d__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__,s__,,1,Only Tanganyika
109,d__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__,f__,g__,s__,,2,Only Tanganyika
110,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__,g__,s__,,1,Only Tanganyika
111,d__Bacteria,p__Desulfobacterota,c__Syntrophia,o__Syntrophales,f__UBA5619,g__UBA5619,s__,,1,Only Tanganyika
112,d__Bacteria,p__Firmicutes_D,c__Dethiobacteria,o__DTU022,f__DTU022,g__,s__,,1,Only Tanganyika
113,d__Bacteria,p__Firmicutes_H,c__CSP1-3,o__CSP1-3,f__,g__,s__,,1,Only Tanganyika
114,d__Bacteria,p__Gemmatimonadota,c__,o__,f__,g__,s__,,1,Only Tanganyika
115,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__,f__,g__,s__,1,,Only Baikal
116,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__,g__,s__,,1,Only Tanganyika
117,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__Gemmatimonadaceae,g__,s__,,4,Only Tanganyika
118,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__Gemmatimonadales,f__GWC2-71-9,g__,s__,2,,Only Baikal
119,d__Bacteria,p__Gemmatimonadota,c__Gemmatimonadetes,o__SG8-23,f__UBA6960,g__,s__,2,1,Both
120,d__Bacteria,p__Latescibacterota,c__,o__,f__,g__,s__,1,1,Both
121,d__Bacteria,p__Latescibacterota,c__UBA2968,o__UBA8231,f__,g__,s__,1,1,Both
122,d__Bacteria,p__Margulisbacteria,c__ZB3,o__UBA817,f__,g__,s__,1,,Only Baikal
123,d__Bacteria,p__Methylomirabilota,c__Methylomirabilia,o__Rokubacteriales,f__GWA2-73-35,g__,s__,,2,Only Tanganyika
124,d__Bacteria,p__Myxococcota,c__,o__,f__,g__,s__,,4,Only Tanganyika
125,d__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Myxococcaceae,g__,s__,,1,Only Tanganyika
126,d__Bacteria,p__Myxococcota,c__Polyangia,o__,f__,g__,s__,2,,Only Baikal
127,d__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__,s__,1,2,Both
128,d__Bacteria,p__Myxococcota,c__UBA4248,o__,f__,g__,s__,1,2,Both
129,d__Bacteria,p__Myxococcota,c__UBA4248,o__UBA7976,f__UBA1532,g__,s__,,1,Only Tanganyika
130,d__Bacteria,p__Myxococcota,c__UBA727,o__UBA727,f__,g__,s__,,1,Only Tanganyika
131,d__Bacteria,p__Myxococcota,c__UBA796,o__,f__,g__,s__,1,,Only Baikal
132,d__Bacteria,p__Myxococcota,c__UBA796,o__UBA796,f__,g__,s__,1,,Only Baikal
133,d__Bacteria,p__Myxococcota,c__UBA9042,o__,f__,g__,s__,2,,Only Baikal
134,d__Bacteria,p__Myxococcota,c__UBA9160,o__UBA9160,f__UBA6930,g__,s__,,1,Only Tanganyika
135,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__,s__,2,4,Both
136,d__Bacteria,p__Nitrospirota,c__Nitrospiria,o__Nitrospirales,f__Nitrospiraceae,g__Nitrospira,s__,,2,Only Tanganyika
137,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__,g__,s__,,3,Only Tanganyika
138,d__Bacteria,p__Nitrospirota,c__Thermodesulfovibrionia,o__Thermodesulfovibrionales,f__SM23-35,g__,s__,,1,Only Tanganyika
139,d__Bacteria,p__Omnitrophota,c__koll11,o__,f__,g__,s__,,3,Only Tanganyika
140,d__Bacteria,p__Omnitrophota,c__koll11,o__GIF10,f__UBA6249,g__,s__,,5,Only Tanganyika
141,d__Bacteria,p__Omnitrophota,c__Omnitrophia,o__Omnitrophales,f__,g__,s__,1,,Only Baikal
142,d__Bacteria,p__Patescibacteria,c__,o__,f__,g__,s__,2,,Only Baikal
143,d__Bacteria,p__Patescibacteria,c__4484-211,o__4484-211,f__,g__,s__,,1,Only Tanganyika
144,d__Bacteria,p__Patescibacteria,c__ABY1,o__Magasanikibacterales,f__GWA2-37-8,g__,s__,1,,Only Baikal
145,d__Bacteria,p__Patescibacteria,c__ABY1,o__Uhrbacterales,f__2-12-FULL-60-25,g__,s__,1,1,Both
146,d__Bacteria,p__Patescibacteria,c__ABY1,o__Uhrbacterales,f__GWF2-40-263,g__,s__,,1,Only Tanganyika
147,d__Bacteria,p__Patescibacteria,c__Gracilibacteria,o__Peribacterales,f__Peribacteraceae,g__,s__,2,2,Both
148,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Gottesmanbacterales,f__GWA2-43-14,g__,s__,,1,Only Tanganyika
149,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Levybacterales,f__UBA12049,g__,s__,1,,Only Baikal
150,d__Bacteria,p__Patescibacteria,c__Microgenomatia,o__Shapirobacterales,f__,g__,s__,,2,Only Tanganyika
151,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__,f__,g__,s__,,1,Only Tanganyika
152,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__,g__,s__,,1,Only Tanganyika
153,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__CG1-02-41-26,g__,s__,,1,Only Tanganyika
154,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Nealsonbacteraceae,g__,s__,,1,Only Tanganyika
155,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Staskawiczbacteraceae,g__,s__,1,1,Both
156,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Paceibacterales,f__Staskawiczbacteraceae,g__01-FULL-38-12b,s__,1,,Only Baikal
157,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__Ryanbacterales,f__GWA2-47-10b,g__,s__,1,,Only Baikal
158,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA6257,f__,g__,s__,2,1,Both
159,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA6257,f__Harrisonbacteraceae,g__,s__,,1,Only Tanganyika
160,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__,g__,s__,1,,Only Baikal
161,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Kaiserbacteraceae,g__C7867-001,s__,1,,Only Baikal
162,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Kaiserbacteraceae,g__GWA1-54-10,s__,1,,Only Baikal
163,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Kaiserbacteraceae,g__UBA10103,s__,1,1,Both
164,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Nomurabacteraceae,g__UBA9973,s__,1,,Only Baikal
165,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Taylorbacteraceae,g__,s__,3,,Only Baikal
166,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Taylorbacteraceae,g__UBA10002,s__,1,,Only Baikal
167,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Zambryskibacteraceae,g__C7867-006,s__,1,,Only Baikal
168,d__Bacteria,p__Patescibacteria,c__Paceibacteria,o__UBA9983,f__Zambryskibacteraceae,g__UBA5004,s__,1,,Only Baikal
169,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__,f__,g__,s__,1,,Only Baikal
170,d__Bacteria,p__Patescibacteria,c__Saccharimonadia,o__Saccharimonadales,f__Saccharimonadaceae,g__,s__,,1,Only Tanganyika
171,d__Bacteria,p__Planctomycetota,c__,o__,f__,g__,s__,2,3,Both
172,d__Bacteria,p__Planctomycetota,c__Brocadiae,o__,f__,g__,s__,,5,Only Tanganyika
173,d__Bacteria,p__Planctomycetota,c__Brocadiae,o__Brocadiales,f__Brocadiaceae,g__,s__,,2,Only Tanganyika
174,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__,s__,7,10,Both
175,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__Phycisphaerales,f__SM1A02,g__UBA966,s__,1,,Only Baikal
176,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SG8-4,f__SG8-4,g__,s__,,1,Only Tanganyika
177,d__Bacteria,p__Planctomycetota,c__Phycisphaerae,o__SG8-4,f__SG8-4,g__PLanc-01,s__,,1,Only Tanganyika
178,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Gemmatales,f__Gemmataceae,g__,s__,6,3,Both
179,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__Pirellulaceae,g__,s__,,3,Only Tanganyika
180,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Pirellulales,f__UBA1268,g__,s__,1,3,Both
181,d__Bacteria,p__Planctomycetota,c__Planctomycetes,o__Planctomycetales,f__Planctomycetaceae,g__,s__,1,1,Both
182,d__Bacteria,p__Planctomycetota,c__UBA1135,o__UBA1135,f__,g__,s__,1,2,Both
183,d__Bacteria,p__Planctomycetota,c__UBA1135,o__UBA2386,f__,g__,s__,1,,Only Baikal
184,d__Bacteria,p__Planctomycetota,c__UBA1135,o__UBA2386,f__UBA2386,g__,s__,,2,Only Tanganyika
185,d__Bacteria,p__Poribacteria,c__WGA-4E,o__,f__,g__,s__,,2,Only Tanganyika
186,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__,f__,g__,s__,6,13,Both
187,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__,s__,3,2,Both
188,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__UBA6159,s__,1,,Only Baikal
189,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Defluviicoccales,f__Defluviicoccaceae,g__,s__,,1,Only Tanganyika
190,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Elsterales,f__Elsteraceae,g__,s__,1,,Only Baikal
191,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__,g__,s__,,2,Only Tanganyika
192,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__,s__,,1,Only Tanganyika
193,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Fonsibacter,s__,1,1,Both
194,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Pelagibacterales,f__Pelagibacteraceae,g__Pelagibacter,s__,1,1,Both
195,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,s__,1,1,Both
196,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__,g__,s__,,1,Only Tanganyika
197,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__,s__,,2,Only Tanganyika
198,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylocystis,s__,,6,Only Tanganyika
199,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Methyloligellaceae,g__Methyloceanibacter,s__,,1,Only Tanganyika
200,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__,s__,1,1,Both
201,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Xanthobacteraceae,g__Pseudolabrys,s__,2,,Only Baikal
202,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__,s__,,2,Only Tanganyika
203,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Paracoccus,s__,,1,Only Tanganyika
204,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__,g__,s__,4,3,Both
205,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Rhodospirillaceae,g__,s__,3,1,Both
206,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__Rickettsiaceae,g__,s__,,1,Only Tanganyika
207,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rickettsiales,f__UBA1997,g__,s__,1,1,Both
208,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__SL26,f__SL26,g__,s__,1,,Only Baikal
209,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sneathiellales,f__,g__,s__,3,6,Both
210,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__,,1,Only Tanganyika
211,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingomonas,s__,,1,Only Tanganyika
212,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA1301,f__UBA1301,g__,s__,1,,Only Baikal
213,d__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__UBA828,f__,g__,s__,3,2,Both
214,d__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__,f__,g__,s__,1,,Only Baikal
