Sample	M_DeepCast_65m_m2_224	K_Offshore_80m_m2_082	K_DeepCast_65m_m1_022	K_Offshore_80m_m2_152	K_Offshore_120m_m2_006	K_Offshore_120m_m2_108	K_Offshore_80m_m2_094	K_DeepCast_65m_m2_193	K_Offshore_80m_m2_187	M_DeepCast_65m_mx_068	M_DeepCast_50m_m2_018	K_Offshore_80m_m2_183	K_Offshore_120m_m2_146	K_Offshore_80m_m2_170	K_Offshore_80m_m1_189	K_Offshore_120m_m2_037	K_DeepCast_65m_m2_033	K_Offshore_80m_m2_218	K_DeepCast_100m_m2_203	K_DeepCast_250m_m1_199	K_DeepCast_100m_m2_305	M_DeepCast_65m_m1_226	K_DeepCast_150m_m1_344	K_DeepCast_250m_m1_333	K_Offshore_80m_m1_122	K_DeepCast_65m_m1_133	M_DeepCast_65m_m2_204	M_DeepCast_50m_m1_133	M_DeepCast_50m_m1_244	M_DeepCast_65m_m2_071	K_DeepCast_100m_m2_001	K_DeepCast_100m_m2_321	K_Offshore_80m_m1_159	M_DeepCast_65m_m2_104	M_DeepCast_65m_m1_011	M_DeepCast_65m_m1_099	K_DeepCast_100m_mx_210	K_Offshore_80m_m2_102	K_Offshore_80m_m2_003	K_Offshore_80m_m2_040	M_DeepCast_65m_mx_150	K_Offshore_80m_m2_121	M_DeepCast_65m_m2_186	M_DeepCast_65m_m2_155	M_DeepCast_65m_mx_077	K_DeepCast_300m_m2_173	K_DeepCast_100m_mx_218	M_DeepCast_200m_m2_025	M_DeepCast_65m_m2_011	M_DeepCast_400m_m2_341	M_DeepCast_400m_m2_165	K_DeepCast_100m_m2_328	M_DeepCast_100m_m2_243	M_DeepCast_65m_m2_014	K_Offshore_80m_m1_165	K_Offshore_120m_m2_058	M_DeepCast_65m_m2_001	K_DeepCast_250m_mx_148	K_DeepCast_150m_m2_164	M_DeepCast_200m_mx_295
65	0.05	0.08	0.07	0	0.01	0.01	0.01	0	0.07	0.47	0.02	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.02	0.01	0	0	0	0	0	0.02	0.01	0.22	0.26	0.02	0.01	0	0.01	0.03	0.01	0	0	0	0	0	0	0	0.05	0.04	0.01	0.01	0	0
65	0.15	0.17	0.17	0.01	0	0	0.01	0	0.18	0.5	0.13	0.01	0.02	0.01	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0.03	0	0	0	0	0	0	0	0	0	0.06	0.02	1.44	0.28	0.07	0.01	0	0.01	0.04	0	0	0	0	0	0	0	0	0.17	0.04	0.01	0	0	0
80	0.19	0.07	0.12	0	0	0	0.01	0	0.13	0.63	0.1	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0.03	0.01	0.89	0.22	0.08	0.01	0	0	0.04	0.01	0	0	0	0	0	0	0	0.12	0.03	0.01	0	0	0
100	12.81	0.18	1.66	0.3	0.98	0.95	0.6	0.81	1.48	0.57	12.53	0.12	1.02	0.41	1.29	2.24	1.77	0.71	0	0	0	0	0	0	0.22	2.07	0.01	4.69	2.54	0.03	0.01	0.01	0.6	0.01	0.04	0	0	0.63	0.69	12.94	0.82	23.43	0.19	0.87	0.02	0.04	0.06	0.01	0.01	0.01	0	0	0.01	0.01	1.2	2.78	7.41	0.01	0.02	0
100	9.04	0.16	1.48	0.16	0.9	0.71	0.3	0.37	0.88	12.97	8.48	0.07	0.57	0.25	0.9	1.33	0.45	0.45	1.57	0.32	0.56	2.86	0.21	0.05	0.17	0.76	0.63	2.6	1.34	1.59	0.44	0.54	0.34	1.05	2.03	0.99	0.04	0.29	0.32	5.86	4	25.71	0.99	2.02	3.79	0.05	0.64	0.06	3.08	0	0.01	2.85	4.47	2.16	0.68	1.01	5.13	0.01	0.35	0.01
150	4.11	0.5	0.94	0.16	0.42	0.4	0.26	0.25	0.78	4.3	6.69	0.08	0.47	0.24	0.6	0.89	0.86	0.43	2.44	14.28	1.57	1.67	5.3	2.61	0.25	0.61	0.16	1.74	0.95	0.12	1.21	1.36	0.26	0.07	0.02	0.02	0.85	0.47	0.3	4.2	1.01	7.84	0.27	0.47	1.28	0.55	1	1.22	0.58	0.14	0.6	4.06	6.28	0.75	0.88	0.77	2.45	0.65	2.53	0.27
250	2.62	0.46	0.64	0.11	0.24	0.22	0.16	0.17	0.69	4.31	5.1	0.09	0.33	0.18	0.37	0.59	0.51	0.29	0.7	6.31	0.49	0.46	4.86	3.61	0.23	0.46	0.07	1.15	0.55	0.08	0.3	0.73	0.21	0.05	0.01	0.01	0.69	0.4	0.22	3.45	0.64	4.54	0.12	0.25	0.68	1.78	0.34	1.26	0.25	0.49	1.28	1.04	1.71	0.28	0.81	0.58	1.62	2.02	2.34	0.67
300	4.1	0.44	0.8	0.17	0.39	0.36	0.28	0.24	0.86	4.66	4.64	0.11	0.4	0.29	0.66	1.02	0.64	0.41	1.09	4.66	0.65	0.82	5.08	3.85	0.26	0.43	0.12	1.77	1.01	0.14	0.41	0.85	0.34	0.08	0.02	0.02	0.68	0.46	0.29	4.92	0.75	7.71	0.21	0.44	1.01	2.06	0.43	1.63	0.37	0.52	1.06	1.47	2.77	0.61	0.83	0.57	1.68	1.75	2.87	0.64
1200	6.54	0.61	1.26	0.21	0.64	0.64	0.41	0.46	1.26	3.91	5.14	0.11	0.61	0.41	0.95	1.67	1.07	0.57	1.05	3.85	0.6	0.86	2.66	2.26	0.26	0.79	0.07	3.65	1.57	0.11	0.4	0.48	0.45	0.05	0.03	0.02	0.33	0.57	0.48	5.92	0.95	10.89	0.25	0.61	0.65	1.98	0.27	1.24	0.29	0.64	1.02	1.31	2.42	0.48	0.84	1.03	2.88	1.37	1.72	0.5
120	25.72	0.52	4.96	1.39	2.45	1.79	1.26	0.87	2.96	1.68	52.25	1.02	3.06	2.51	4.7	4.84	3.49	2.26	0.09	0	0.01	0.09	0.01	0	1.55	5.47	0.02	5.88	4.58	0.06	0.05	0.03	2.1	0.1	0.16	0.01	0	3.36	2.33	43.71	2.17	53.44	0.53	2.25	0.2	0.06	0.12	0.01	0.03	0.02	0.01	0.21	0.5	0.15	4.2	9.01	18.02	0.02	0.05	0.01
200	3.67	0.25	0.97	0.13	0.32	0.29	0.14	0.19	0.81	4.92	7.64	0.07	0.42	0.17	0.4	0.63	0.62	0.32	1.79	14.62	1.15	0.91	7.74	4.4	0.42	0.69	0.17	1.33	0.78	0.15	0.65	1.24	0.21	0.14	0.17	0.05	0.87	0.66	0.42	6.29	0.92	7.25	0.19	0.39	1.04	1.88	1.05	2	0.42	0.47	1.47	2.73	2.95	0.4	1.4	0.97	2.82	2.63	3.17	1.1
400	4.43	0.36	1.1	0.14	0.36	0.31	0.25	0.23	1.05	4.84	6.35	0.11	0.42	0.23	0.51	0.96	0.5	0.33	0.63	3.5	0.46	0.48	5.02	4.57	0.45	0.72	0.1	1.48	0.91	0.14	0.37	0.71	0.32	0.13	0.15	0.05	0.53	0.67	0.51	10.41	0.95	8.96	0.2	0.46	0.73	3.42	0.47	0.95	0.23	1.11	1.72	1.02	1.38	0.28	1.32	0.92	2.17	3.08	1.6	1.16
