MAG	Taxonomy	Domain	KigCas0	KigCa35	KigOff0	KigOff40	KigOffSurface	MahCa10	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9	MahCa50	MahCa65	KigCa65	KigOff80	KigC100	MahC100	KigC150	KigC250	KigC300	KigC1200	KigOff120	MahC200	MahC400	Epi	Oxy	Hypo	Completeness	Nb of Scaffolds
K_DeepCast_35m_m1_317	Alphaproteobacteria non LD12	Bacteria	0.99	0.72	0.43	0.47	0.38	0.49	0.47	0.14	0.38	0.48	0.31	0.14	0.38	0.48	0.31	0.32	0.22	0.63	0.74	0.65	0.94	0.39	0.55	0.91	5.28	1.87	4.81	66.97	869
K_Offshore_40m_m2_283	Alphaproteobacteria non LD12	Bacteria	0.44	0.28	0.53	0.69	0.57	0.31	0.27	0.18	0.22	0.33	0.31	0.18	0.22	0.33	0.31	0.14	0.11	0.33	0.38	0.27	0.44	0.04	0.3	0.52	4.14	1.3	2.27	73.56	572
K_Offshore_40m_m1_238	Alphaproteobacteria non LD12	Bacteria	0.18	0.13	0.98	1.16	0.94	0.09	0.17	0.13	0.11	0.13	0.08	0.13	0.11	0.13	0.08	0.11	0.07	0.14	0.16	0.17	0.23	0.21	0.12	0.23	4.11	0.64	1.26	98.12	217
K_Offshore_40m_m1_243	Alphaproteobacteria non LD12	Bacteria	0.46	0.38	0.5	0.63	0.54	0.22	0.22	0.08	0.17	0.24	0.17	0.08	0.17	0.24	0.17	0.09	0.09	0.33	0.32	0.31	0.42	0.03	0.24	0.31	3.61	0.83	1.95	77.47	848
M_DeepCast_100m_m1_138	Alphaproteobacteria non LD12	Bacteria	0.62	0.36	0.26	0.29	0.23	0.28	0.29	0.09	0.24	0.31	0.19	0.09	0.24	0.31	0.19	0.15	0.11	0.38	0.43	0.37	0.52	0.16	0.29	0.51	3.16	1.08	2.66	34.9	430
M_surface_6_m2_121	Alphaproteobacteria non LD12	Bacteria	0.21	0.23	0.11	0.15	0.31	0.05	0.08	0.91	0.06	0.23	0.19	0.91	0.06	0.23	0.19	0.05	0.02	0.13	0.16	0.09	0.11	0.08	0.07	0.07	2.53	1.46	0.72	90.11	258
K_Offshore_80m_m2_101	Alphaproteobacteria non LD12	Bacteria	0.19	0.16	0.21	0.3	0.2	0.2	0.1	0.09	0.06	0.16	0.19	0.09	0.06	0.16	0.19	0.19	0.11	0.19	0.19	0.16	0.23	0.74	0.23	0.35	1.86	0.8	2.1	94.22	577
K_Offshore_80m_m2_187	Alphaproteobacteria non LD12	Bacteria	0.4	0.3	0.09	0.12	0.09	0.29	0.1	0.06	0.07	0.18	0.13	0.06	0.07	0.18	0.13	1.48	0.88	0.78	0.69	0.86	1.26	2.96	0.81	1.05	1.84	2.79	8.42	95.9	395
M_surface_7_m2_013	Alphaproteobacteria non LD12	Bacteria	0.01	0.01	0	0	0.01	0	0.11	0.09	0.87	0.35	0.35	0.09	0.87	0.35	0.35	0	0.01	0	0	0	0.01	0.01	0.01	0.01	1.79	1.67	0.04	90.11	64
K_DeepCast_300m_mx_266	Alphaproteobacteria non LD12	Bacteria	0.18	0.14	0.09	0.12	0.09	0.16	0.12	0.08	0.1	0.13	0.13	0.08	0.1	0.13	0.13	0.8	1.1	0.72	0.51	1.02	0.92	2.14	0.77	0.83	1.34	2.34	6.9	15.72	400
K_DeepCast_35m_m2_327	Alphaproteobacteria non LD12	Bacteria	0.51	0.67	0.03	0.03	0.05	0	0.01	0	0	0	0	0	0	0	0	0	0	0.36	0.46	0.3	0.39	0	0.01	0.01	1.31	0.02	1.54	61.67	296
K_Offshore_80m_m2_085	Alphaproteobacteria non LD12	Bacteria	0.16	0.15	0.07	0.12	0.11	0.15	0.09	0.07	0.08	0.1	0.1	0.07	0.08	0.1	0.1	1.61	1.29	0.93	0.62	0.92	1.15	3.38	0.9	0.95	1.2	3.24	8.85	32.74	72
M_DeepCast_200m_m2_174	Alphaproteobacteria non LD12	Bacteria	0.15	0.07	0.17	0.16	0.16	0.06	0.11	0.05	0.09	0.1	0.08	0.05	0.09	0.1	0.08	0.02	0.02	0.07	0.09	0.05	0.08	0.01	0.08	0.08	1.19	0.36	0.45	67.85	1115
K_Offshore_80m_m2_107	Alphaproteobacteria non LD12	Bacteria	0.19	0.2	0.04	0.07	0.05	0.26	0.06	0.05	0.05	0.09	0.1	0.05	0.05	0.09	0.1	3.22	1.71	1.3	0.85	1.19	1.8	7.07	1.56	1.51	1.15	5.22	15.29	96.96	331
K_Offshore_80m_m2_115	Alphaproteobacteria non LD12	Bacteria	0.21	0.19	0.04	0.09	0.06	0.19	0.04	0.04	0.03	0.08	0.08	0.04	0.03	0.08	0.08	1.92	0.8	0.76	0.63	0.9	1.25	4.07	0.74	0.96	1.06	2.97	9.3	97.79	214
K_Offshore_80m_m2_053	Alphaproteobacteria non LD12	Bacteria	0.15	0.16	0.05	0.08	0.06	0.16	0.06	0.04	0.05	0.08	0.09	0.04	0.05	0.08	0.09	2.21	1.45	0.79	0.61	0.84	1.3	5.94	0.92	1.05	0.97	3.92	11.45	92.9	671
K_Offshore_80m_m2_146	Alphaproteobacteria non LD12	Bacteria	0.19	0.14	0.07	0.11	0.08	0.08	0.05	0.04	0.05	0.08	0.07	0.04	0.05	0.08	0.07	0.33	0.35	0.33	0.27	0.36	0.44	1.13	0.2	0.27	0.97	0.92	3	70.05	605
K_Offshore_80m_m1_144	Alphaproteobacteria non LD12	Bacteria	0.16	0.13	0.06	0.08	0.06	0.12	0.06	0.03	0.06	0.07	0.05	0.03	0.06	0.07	0.05	0.23	0.16	0.2	0.2	0.19	0.24	0.62	0.23	0.29	0.87	0.59	1.96	55.84	1517
K_Offshore_80m_m1_220	Alphaproteobacteria non LD12	Bacteria	0.18	0.11	0.04	0.07	0.04	0.12	0.06	0.04	0.04	0.09	0.07	0.04	0.04	0.09	0.07	0.42	0.32	0.26	0.25	0.3	0.4	1.12	0.19	0.34	0.87	1	2.86	69.82	730
M_DeepCast_50m_m2_221	Alphaproteobacteria non LD12	Bacteria	0.1	0.11	0.04	0.08	0.05	0.19	0.04	0.04	0.03	0.06	0.07	0.04	0.03	0.06	0.07	8.19	3.8	2.67	1.83	3.11	4.57	17.11	1.92	2.58	0.81	12.18	33.79	97.26	97
K_Offshore_80m_m2_051	Alphaproteobacteria non LD12	Bacteria	0.15	0.13	0.03	0.05	0.04	0.14	0.05	0.03	0.04	0.07	0.06	0.03	0.04	0.07	0.06	0.99	0.67	0.5	0.35	0.47	0.67	2.1	0.58	0.64	0.78	1.87	5.31	93.45	278
K_Offshore_80m_m2_228	Alphaproteobacteria non LD12	Bacteria	0.11	0.12	0.04	0.06	0.04	0.17	0.04	0.03	0.02	0.06	0.05	0.03	0.02	0.06	0.05	2.24	0.94	0.95	0.62	1.09	1.54	4.28	0.89	1.08	0.75	3.34	10.47	98.26	285
K_Offshore_80m_m2_191	Alphaproteobacteria non LD12	Bacteria	0.16	0.11	0.03	0.05	0.04	0.14	0.02	0.02	0.02	0.06	0.03	0.02	0.02	0.06	0.03	0.65	0.27	0.38	0.33	0.45	0.6	1.77	0.41	0.55	0.68	1.05	4.48	98.04	247
K_Offshore_80m_m2_061	Alphaproteobacteria non LD12	Bacteria	0.06	0.07	0.02	0.04	0.03	0.06	0.07	0.1	0.07	0.06	0.06	0.1	0.07	0.06	0.06	0.54	0.28	0.27	0.2	0.32	0.43	1.22	0.21	0.28	0.65	1.12	2.92	89.43	454
K_Offshore_80m_m2_186	Alphaproteobacteria non LD12	Bacteria	0.12	0.1	0.03	0.05	0.03	0.11	0.03	0.03	0.02	0.05	0.06	0.03	0.02	0.05	0.06	1.1	0.7	0.5	0.4	0.57	0.8	2.77	0.43	0.58	0.63	1.96	6.06	98.85	164
K_DeepCast_1200m_m2_124	Alphaproteobacteria non LD12	Bacteria	0.08	0.12	0.01	0.01	0.01	0.03	0.05	0.02	0.14	0.04	0.04	0.02	0.14	0.04	0.04	0.05	0.07	0.62	0.62	1.37	3.65	0.02	0.21	1.46	0.54	0.36	7.95	72.04	844
K_Offshore_80m_m2_123	Alphaproteobacteria non LD12	Bacteria	0.08	0.1	0.03	0.05	0.03	0.08	0.03	0.03	0.03	0.04	0.04	0.03	0.03	0.04	0.04	1.31	1.14	0.8	0.52	0.95	1.15	3.56	0.6	0.72	0.52	2.58	8.31	97.78	123
M_DeepCast_400m_m1_328	Alphaproteobacteria non LD12	Bacteria	0.08	0.12	0.01	0.02	0.01	0.02	0.13	0.06	0.02	0.02	0.03	0.06	0.02	0.02	0.03	0.03	0.04	0.51	0.66	1.26	1.98	0.02	0.15	2.73	0.51	0.2	7.31	79.68	401
K_Offshore_80m_m2_162	Alphaproteobacteria non LD12	Bacteria	0.05	0.05	0.02	0.04	0.02	0.07	0.03	0.02	0.02	0.04	0.03	0.02	0.02	0.04	0.03	1.02	0.69	0.5	0.36	0.53	0.69	2.49	0.43	0.51	0.39	1.83	5.51	93.48	162
K_Offshore_80m_m2_049	Alphaproteobacteria non LD12	Bacteria	0.09	0.06	0.02	0.03	0.02	0.05	0.02	0.01	0.02	0.03	0.02	0.01	0.02	0.03	0.02	0.34	0.19	0.2	0.17	0.23	0.3	1.03	0.17	0.23	0.39	0.63	2.34	65.93	964
K_Offshore_80m_m2_081	Alphaproteobacteria non LD12	Bacteria	0.06	0.05	0.02	0.03	0.02	0.05	0.03	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.02	0.12	0.08	0.13	0.12	0.17	0.19	0.47	0.11	0.15	0.37	0.3	1.35	62.52	1691
K_Offshore_120m_m2_043	Alphaproteobacteria non LD12	Bacteria	0.06	0.05	0.01	0.02	0.02	0.07	0.03	0.02	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.94	0.53	0.33	0.23	0.4	0.59	2.25	0.34	0.4	0.36	1.58	4.53	92.03	648
M_DeepCast_400m_m2_041	Alphaproteobacteria non LD12	Bacteria	0.08	0.05	0.01	0.01	0	0.01	0.04	0.01	0.05	0.03	0.05	0.01	0.05	0.03	0.05	0.03	0.05	0.22	0.27	0.64	1.38	0.03	0.14	2.41	0.34	0.21	5.08	83.4	935
M_DeepCast_400m_m2_294	Alphaproteobacteria non LD12	Bacteria	0.05	0.06	0	0.01	0.01	0.02	0.03	0.01	0.07	0.03	0.03	0.01	0.07	0.03	0.03	0.03	0.04	0.3	0.31	0.7	1.58	0.01	0.12	1.02	0.3	0.2	4.04	46.98	598
K_Offshore_80m_m1_082	Alphaproteobacteria non LD12	Bacteria	0.03	0.04	0.01	0.03	0.02	0.04	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.87	0.75	0.34	0.24	0.37	0.49	2.51	0.32	0.44	0.24	1.68	4.72	21.89	46
M_DeepCast_65m_m2_016	Alphaproteobacteria non LD12	Bacteria	0.03	0.04	0.01	0.02	0.03	0.04	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.98	1.09	0.88	0.46	0.86	0.74	1.7	0.9	0.75	0.24	2.12	6.28	97.58	31
M_DeepCast_50m_m2_111	Alphaproteobacteria non LD12	Bacteria	0.03	0.03	0.01	0.02	0.01	0.06	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	2.62	1.53	0.83	0.51	0.74	1.32	6.52	0.92	0.89	0.24	4.21	11.72	96.59	354
M_DeepCast_50m_m1_063	Alphaproteobacteria non LD12	Bacteria	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.03	0.02	0.02	0.01	0.03	0.02	0.81	0.15	0.1	0.08	0.1	0.17	0.93	0.11	0.17	0.17	1.04	1.67	87.36	195
K_Offshore_80m_m2_048	Alphaproteobacteria non LD12	Bacteria	0.02	0.02	0.01	0.01	0.01	0.05	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.45	0.22	0.18	0.12	0.18	0.28	1.07	0.23	0.23	0.17	0.71	2.29	60.53	1152
K_DeepCast_65m_m1_262	Alphaproteobacteria non LD12	Bacteria	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.5	1.84	0.71	0.33	0.64	0.68	2.06	0.57	0.54	0.12	2.38	5.53	69.53	792
M_DeepCast_65m_m2_129	Alphaproteobacteria non LD12	Bacteria	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.08	1.3	0.17	0.11	0.22	0.24	0.37	0.15	0.2	0.1	1.41	1.46	93.99	166
M_DeepCast_65m_m2_266	Alphaproteobacteria non LD12	Bacteria	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.23	2.01	0.73	0.31	0.57	0.59	1.3	0.51	0.45	0.09	2.26	4.46	98.63	156
M_DeepCast_65m_m2_243	Alphaproteobacteria non LD12	Bacteria	0.01	0.01	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0.01	0.01	0.01	0.03	1.57	0.2	0.1	0.22	0.18	0.25	0.18	0.19	0.07	1.62	1.32	90.09	1019
K_DeepCast_100m_mx_141	Alphaproteobacteria non LD12	Bacteria	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0.01	0	0	0.01	0.01	0	0.03	2.25	1.77	0.41	0.96	0.87	0.42	1.18	0.43	0.06	2.31	6.05	94.86	846
M_DeepCast_65m_m1_170	Alphaproteobacteria non LD12	Bacteria	0.01	0.01	0	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0	0.01	0	0.01	0.55	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.06	0.59	0.09	35.48	182
M_DeepCast_65m_m1_275	Alphaproteobacteria non LD12	Bacteria	0.01	0	0	0	0	0.01	0	0	0.01	0.01	0	0	0.01	0.01	0	0.03	0.75	0.18	0.08	0.14	0.14	0.2	0.14	0.12	0.05	0.79	1	82.59	654
K_DeepCast_250m_m2_101	Alphaproteobacteria non LD12	Bacteria	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0.1	4.84	3.71	1.1	2.18	1.9	1.1	2.69	0.95	0.04	4.95	13.63	57.45	905
M_DeepCast_65m_m1_296	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	1.2	0.14	0.07	0.15	0.14	0.26	0.14	0.16	0.03	1.25	1.06	98.28	1294
K_DeepCast_65m_m2_082	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.06	3.07	2.41	0.5	1.36	1.18	0.71	1.65	0.58	0.03	3.14	8.41	90.91	1266
M_DeepCast_65m_m2_041	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.77	0.6	0.14	0.31	0.28	0.14	0.38	0.14	0.02	0.78	1.99	98.89	295
M_DeepCast_65m_m1_019	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.62	1.26	0.31	0.63	0.44	0.19	1.16	0.34	0.02	1.64	4.33	89.77	183
K_Offshore_120m_m1_147	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	1.4	1.13	0.24	0.61	0.54	0.41	0.73	0.25	0.01	1.44	3.91	85.09	1251
M_DeepCast_200m_mx_060	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.04	1.86	1.46	0.32	0.78	0.68	0.37	0.95	0.32	0.01	1.91	4.88	76.69	525
M_DeepCast_200m_mx_050	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.02	0.81	0.17	0.44	0.38	0.19	0.56	0.19	0.01	1.05	2.74	95.29	328
M_DeepCast_400m_m1_040	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0.01	0.01	0	0.03	1.76	0.01	0.01	1.81	86.06	377
M_DeepCast_65m_m1_022	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.63	0.5	0.11	0.26	0.23	0.13	0.29	0.11	0.01	0.65	1.64	93.83	152
M_DeepCast_65m_mx_036	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.4	0.25	0.07	0.15	0.12	0.07	0.17	0.07	0.01	0.41	0.9	96.99	209
M_DeepCast_400m_m1_109	Alphaproteobacteria non LD12	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11	0.09	0.02	0.05	0.04	0.02	0.05	0.04	0	0.12	0.31	38.72	599
M_DeepCast_200m_m2_041	Alphaproteobacteria LD12	Bacteria	133.88	116.78	81.17	198.88	139.78	65.25	109.89	88.82	112.08	112.87	106.19	88.82	112.08	112.87	106.19	27.07	14.32	59.05	65.48	47.4	63.94	22.13	50.69	72.73	1265.58	461.35	381.41	74.7	98
K_DeepCast_0m_mx_190	Alphaproteobacteria LD12	Bacteria	27.58	28.56	12.63	29.98	26.77	15.41	32.41	47.47	30.34	28.8	29.22	47.47	30.34	28.8	29.22	5.67	3.17	14.26	15.6	10.87	14.03	4	17.87	19.67	309.17	144.67	96.3	80.23	617
K_DeepCast_100m_mx_319	Alphaproteobacteria LD12	Bacteria	13.31	13.39	6.12	14.74	12.12	7.31	15.12	21.87	14.34	13.5	13.56	21.87	14.34	13.5	13.56	2.72	1.47	6.66	7.24	4.98	6.62	1.97	7.7	8.9	145.37	67.46	44.08	84.8	635
M_DeepCast_100m_m1_059	Alphaproteobacteria LD12	Bacteria	7.77	6.93	3.64	8.59	6.41	3.61	6.76	7.31	6.74	6.8	7.16	7.31	6.74	6.8	7.16	1.54	0.89	3.78	3.97	2.69	3.53	1.14	3.08	3.93	71.73	30.44	22.12	81.33	413
K_Offshore_surface_m1_056	Alphaproteobacteria LD12	Bacteria	6.89	6.2	3.68	8.88	6.45	3.39	6.27	5.58	6.15	6.38	5.99	5.58	6.15	6.38	5.99	1.44	0.78	3.24	3.48	2.43	3.27	1.07	2.97	3.9	65.84	26.31	20.36	82.84	278
M_DeepCast_10m_m1_219	Alphaproteobacteria LD12	Bacteria	6.53	5.8	3.59	8.78	6.37	3.43	5.68	5.72	5.63	5.75	5.44	5.72	5.63	5.75	5.44	1.82	0.78	3.02	3.29	2.28	3.12	2.43	2.91	3.7	62.71	25.13	20.74	73.82	420
K_DeepCast_150m_m2_191	Alphaproteobacteria LD12	Bacteria	6.49	5.65	3.5	8.48	6.1	3.12	5.6	5.18	5.66	5.66	5.3	5.18	5.66	5.66	5.3	1.29	0.69	3.1	3.2	2.25	3.06	0.9	2.54	3.48	60.73	23.77	18.52	83.73	395
M_DeepCast_65m_mx_239	Alphaproteobacteria LD12	Bacteria	5.13	5.73	1.91	4.68	3.75	3.13	6.51	11.08	5.89	5.78	6.13	11.08	5.89	5.78	6.13	1.26	0.76	2.81	3.1	1.99	2.7	1.27	3.86	3.86	59.73	30.9	19.59	65.87	1252
M_surface_8_m1_222	Alphaproteobacteria LD12	Bacteria	6.17	5.24	3.13	7.66	6	2.95	5.45	5.83	5.33	5.46	5.1	5.83	5.33	5.46	5.1	1.29	0.66	2.75	3	2.11	2.78	1.31	2.42	3.36	58.32	23.68	17.72	78.92	407
K_Offshore_40m_m1_069	Alphaproteobacteria LD12	Bacteria	5.45	4.84	3.18	7.61	5.49	2.77	5.01	5.63	5.09	5.05	4.77	5.63	5.09	5.05	4.77	1.11	0.59	2.52	2.72	1.88	2.57	0.7	2.32	3.05	54.89	22.24	15.77	77.71	155
K_DeepCast_1200m_m1_106	Alphaproteobacteria LD12	Bacteria	5.15	4.75	2.73	6.51	5.08	2.54	4.79	5.42	4.67	4.67	4.37	5.42	4.67	4.67	4.37	1.09	0.57	2.47	2.61	1.91	2.69	1.15	2.32	2.98	50.67	20.78	16.12	63.26	422
M_surface_9_m1_039	Alphaproteobacteria LD12	Bacteria	4.66	4.47	2.29	5.61	4.15	2.42	4.8	5.5	4.63	4.71	4.48	5.5	4.63	4.71	4.48	0.96	0.52	2.2	2.44	1.61	2.18	0.68	2.42	2.92	47.72	20.81	14.45	74.59	230
M_DeepCast_50m_m1_052	Alphaproteobacteria LD12	Bacteria	2.59	2.35	1.32	3.19	2.32	1.33	2.48	3.09	2.38	2.45	2.35	3.09	2.38	2.45	2.35	0.65	0.31	1.25	1.35	0.94	1.23	0.71	1.24	1.52	25.86	11.23	8.24	78.86	415
M_DeepCast_400m_m2_260	Alphaproteobacteria LD12	Bacteria	2.47	2.15	1.29	3.15	2.24	1.21	2.21	2.3	2.24	2.26	2.11	2.3	2.24	2.26	2.11	0.49	0.26	1.09	1.2	0.82	1.12	0.3	1.01	1.42	23.63	9.67	6.99	67.4	340
M_DeepCast_200m_m2_220	Altiarchaeota	Archaea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.55	1.24	1.03	0.62	0	1.73	1.23	0	0.01	6.41	81.82	215
K_Offshore_80m_m1_225	Armatimonadetes	Bacteria	0.09	0.08	0.02	0.04	0.03	0.06	0.02	0.02	0.02	0.04	0.02	0.02	0.02	0.04	0.02	0.19	0.11	0.18	0.17	0.21	0.26	1.5	0.15	0.23	0.44	0.39	2.69	88.89	218
M_DeepCast_50m_m2_086	Armatimonadetes	Bacteria	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0.87	0.25	0.4	0.2	0.43	0.65	1.7	0.22	0.22	0.04	1.12	3.81	95.83	956
K_DeepCast_1200m_m2_191	Armatimonadetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1.01	9.69	6.42	8.52	7.49	0.08	7.18	8.79	0.02	1.03	48.18	94.91	48
M_DeepCast_50m_m2_207	Armatimonadetes	Bacteria	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.61	0.19	0.19	0.1	0.24	0.38	0.74	0.14	0.16	0.01	0.81	1.95	55.22	1473
K_DeepCast_100m_m2_289	Armatimonadetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19	0.81	0.25	0.24	0.21	0.01	0.6	0.28	0.01	0.19	2.4	71.63	1353
K_DeepCast_150m_m2_147	Armatimonadetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.16	1.84	1.11	1.15	0.96	0.01	1.83	1.02	0	0.16	7.91	75.26	1455
K_DeepCast_250m_m2_231	Armatimonadetes	Bacteria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	1.01	3.95	6.56	6.45	0	3.9	7.45	0	0.02	29.32	92.59	723
K_DeepCast_0m_m2_222	Bacteroidetes	Bacteria	54.4	50.15	14.46	29.34	29.2	20.03	42.83	42.88	42.01	42.85	61.5	42.88	42.01	42.85	61.5	8.97	7.16	33	31.42	20.89	24.24	1.35	16.71	18.85	429.64	205.37	146.47	93.07	36
M_surface_9_m1_013	Bacteroidetes	Bacteria	21.12	19.55	15.69	24.02	19.13	11.37	23.51	19.74	24.14	27.02	30.76	19.74	24.14	27.02	30.76	5.13	4.05	15.12	16.17	9.93	11.89	0.39	9.61	13.62	236.06	110.85	76.73	81.77	14
M_surface_9_mx_199	Bacteroidetes	Bacteria	10.34	10.93	1.81	10.06	6.73	8.5	10.48	21.71	14.65	11.32	33.39	21.71	14.65	11.32	33.39	2.43	2.57	7.92	10.59	5.17	6.56	0.54	9.83	7	139.91	86.07	47.61	99.73	65
K_DeepCast_300m_mx_011	Bacteroidetes	Bacteria	8.72	9.78	3.36	7.44	7.2	5.23	11.77	22.67	11	10.11	11.78	22.67	11	10.11	11.78	3.77	2.08	6.42	6.87	5.31	6.2	7.98	8.42	8.43	109.05	61.42	49.63	32.54	639
K_DeepCast_100m_m2_150	Bacteroidetes	Bacteria	13.7	12.55	4.48	7.12	7.52	3.92	5.99	6.18	7.36	5.72	12.78	6.18	7.36	5.72	12.78	1.53	1.18	9.26	10.49	5.93	7.01	0.09	3.92	5.06	87.32	34.75	41.75	72.43	49
K_DeepCast_0m_m1_127	Bacteroidetes	Bacteria	8.41	8.82	0.58	1.48	1.15	5.43	7.08	5.37	8.04	7.62	11.71	5.37	8.04	7.62	11.71	2.7	1.78	7.01	8.09	4.9	6.6	0.18	4.31	6.59	65.69	37.22	37.7	24.6	50
M_surface_9_m2_088	Bacteroidetes	Bacteria	2.98	2.63	0.18	0.23	0.2	2.45	7.86	14.06	7	6.27	19.1	14.06	7	6.27	19.1	1.05	0.76	2.68	3.41	1.37	1.83	0.01	1.94	3.18	62.96	48.25	14.42	93.91	70
K_Offshore_40m_m1_251	Bacteroidetes	Bacteria	6.04	4.31	3.16	3.57	4.36	2.45	5.44	4.77	5.22	4.68	6.54	4.77	5.22	4.68	6.54	0.97	0.79	3.46	3.58	2.37	3.3	0.05	1.62	2.14	50.53	22.96	16.52	97.43	136
K_DeepCast_100m_m1_107	Bacteroidetes	Bacteria	6.55	6.82	0.44	1.17	0.89	3.99	5.35	4.13	6	5.71	8.86	4.13	6	5.71	8.86	1.98	1.32	5.32	6.26	3.81	5.14	0.1	3.2	4.95	49.9	28	28.79	42.1	119
K_DeepCast_35m_m1_052	Bacteroidetes	Bacteria	6.25	6.35	0.43	1.08	0.83	3.62	4.82	3.81	5.32	5.18	8.2	3.81	5.32	5.18	8.2	1.76	1.2	5.03	5.78	3.56	4.81	0.06	2.84	4.43	45.89	25.46	26.51	65.55	180
K_DeepCast_300m_m1_038	Bacteroidetes	Bacteria	4.47	5.41	0.27	0.63	0.5	3.95	5.49	3.52	6.8	6.29	8.34	3.52	6.8	6.29	8.34	1.89	1.22	3.82	4.75	2.68	3.35	0.13	3.21	5.06	45.66	28.06	23	68.92	379
M_surface_7_m2_242	Bacteroidetes	Bacteria	4.92	4.14	2.07	4.71	3.98	1.28	3.32	4.18	4.43	4.34	6.84	4.18	4.43	4.34	6.84	0.45	0.34	2.7	3.42	1.68	2.22	0.05	1	1.49	44.23	20.58	12.55	98.11	128
K_DeepCast_100m_mx_053	Bacteroidetes	Bacteria	4.21	3.51	2.43	3.19	3.21	2.51	3.86	4.64	3.36	3.58	3.8	4.64	3.36	3.58	3.8	1.06	0.74	2.54	2.88	2	2.81	0.64	2.42	3.04	38.29	17.17	16.32	13.17	548
M_surface_10_m2_039	Bacteroidetes	Bacteria	0.25	0.21	0.15	0.18	6.83	13.7	11.45	0.16	0.25	0.16	2.94	0.16	0.25	0.16	2.94	14.36	0.04	1.7	0.15	0.12	0.16	25.17	0.15	0.6	36.25	17.91	28.05	72.26	898
M_surface_6_mx_005	Bacteroidetes	Bacteria	1.8	4.57	0.41	3	3.08	1.38	1.87	2.75	6.31	2.21	4.18	2.75	6.31	2.21	4.18	0.69	0.42	3.06	2.58	1.16	1.36	2.61	1.91	1.63	31.57	16.57	14.32	72.56	651
K_Offshore_surface_m2_005	Bacteroidetes	Bacteria	5.09	4.42	1.56	2.46	2.66	1.36	2.11	2.18	2.6	2.08	4.62	2.18	2.6	2.08	4.62	0.54	0.4	3.28	3.72	2.04	2.43	0.02	1.3	1.68	31.13	12.43	14.49	97.28	50
M_DeepCast_100m_mx_282	Bacteroidetes	Bacteria	4.04	3.2	2.24	2.41	2.61	2.34	3.41	2.02	2.87	2.62	3.19	2.02	2.87	2.62	3.19	1.01	0.74	2.75	2.75	1.94	2.85	0.25	1.85	2.42	30.94	12.44	14.82	65.32	331
