MAG	Taxonomy	Domain	KigC100	KigC1200	KigC150	KigC250	KigC300	KigCa35	KigCa65	KigCas0	KigOff0	KigOff120	KigOff40	KigOff80	KigOffSurface	MahC100	MahC200	MahC400	MahCa10	MahCa50	MahCa65	Mahsurface_10	Mahsurface_6	Mahsurface_7	Mahsurface_8	Mahsurface_9
K_Offshore_80m_m1_181	Gemmatimonadetes	Bacteria	0.945738776	1.092846939	0.804455102	0.627771429	0.857897959	0.306353061	3.42392449	0.251597959	0.111787755	7.278471429	0.2577	21.31029388	0.19254898	0.847061224	0.800053061	0.959185714	0.190806122	4.514393878	2.088357143	0.073926531	0.0935	0.14797551	0.116053061	0.082765306
K_DeepCast_100m_m2_001	CP Ziwabacteria	Bacteria	15.07131683	2.545808525	7.650988584	1.896876946	2.588224537	0.021493106	0.196248629	0.020556338	0.017553966	0.29053536	0.015115345	0.154894737	0.020265678	5.064528836	4.126513047	2.364056042	0.016861824	0.122519867	5.386784211	0.064578503	0.093860712	0.247547294	0.048596219	0.05625997
K_DeepCast_250m_m2_025	Gemmatimonadetes	Bacteria	1.884184409	4.522160394	3.262669892	9.199923835	7.059645341	0.015653047	0.195080108	0.010858781	0.00753853	0.190896953	0.008757885	0.192832975	0.013022222	0.607869713	7.421029211	7.790175986	0.008312724	0.150799283	0.942071685	0.046083333	0.0259181	0.203407348	0.034419534	0.019314337
M_DeepCast_65m_mx_163	Gemmatimonadetes	Bacteria	6.784158466	4.546980958	5.935896741	6.258275783	6.567087859	0.009228946	0.250555144	0.007160256	0.005383706	0.48493623	0.00483246	0.154475527	0.005450799	1.805806454	6.787407923	5.392729137	0.006648435	0.126328626	6.370066326	0.023132716	0.021131374	0.098199425	0.016172013	0.011247029
K_Offshore_120m_m2_038	Gemmatimonadetes	Bacteria	1.478804712	2.797694764	1.720169634	1.117369634	1.60691623	0.079152356	9.844902094	0.077012042	0.037578534	17.89323037	0.07181466	11.57006335	0.049150785	1.728337173	1.446579581	1.758409424	0.159455497	11.83396702	5.484085864	0.054784293	0.066439267	0.095225654	0.074490576	0.054565969
M_DeepCast_400m_m2_153	CP Gribaldobacteria	Bacteria	0.391355294	5.459035294	1.108836471	5.041428824	6.400976471	0.000838235	0.001569412	0	0.000117647	0.006520588	0	0.000872353	0	0.094735294	4.969052941	8.823738824	0	0.00765	0.025937059	0.001007059	0.000221765	0.003232353	0	0.000561176
K_DeepCast_150m_m1_387	Betaproteobacteria	Bacteria	100.1790231	16.51120165	47.15915289	9.64966281	18.29646942	0.388238017	2.853865289	0.410504959	0.345413223	6.605629752	0.402143802	0.457789256	0.428963636	27.11834545	18.06606612	9.351419008	0.312477686	0.419507438	59.63366364	0.626481818	0.857031405	1.029309917	0.992763636	0.564035537
K_DeepCast_150m_m2_250	Betaproteobacteria	Bacteria	1127.947559	154.8406279	393.4366716	99.78713316	180.5518395	0.355059474	25.37606263	0.293787895	0.239918421	35.94674632	0.281693158	0.521954737	0.292829474	332.1353505	196.4284221	119.3872395	0.229011579	1.350853684	1030.664754	0.318655789	0.280072632	0.413036316	0.34617	0.294242632
K_Offshore_0m_mx_139	Ignavibacteria	Bacteria	445.9186855	261.1966709	297.1450923	315.8823188	179.3909906	1173.926	261.0490991	935.1419419	493.7469427	27.10758547	783.8374632	62.87823333	1022.093172	554.4530906	318.8707761	274.5052205	445.8830564	177.8587624	109.9648786	682.7009479	629.5141957	555.6575094	555.8248624	639.7553786
K_Offshore_80m_m2_224	Ignavibacteria	Bacteria	56.48619836	42.24108033	44.62154754	48.03040164	27.98807213	137.8373869	40.68691803	143.0677836	34.31705902	8.453083607	59.31803607	26.00623279	61.85758525	84.43589836	36.39956393	41.28950164	75.91935246	32.59364098	26.68809016	103.9508131	92.61602131	96.92370164	105.8122361	149.6519262
